Using Merge Sort,,
Number of elements,Time Taken, Operations
2,0.02,6
4,0.01,24
8,0.01,72
16,0.03,192
32,0.04,475
64,0.07,1138
128,0.14,2659
256,0.29,6080
512,0.61,13712
1024,1.25,30479
2048,2.7,67077
4096,5.77,146436
8192,12.69,317296
16384,26.57,683811
32768,55.02,1465943
65536,116.1,3128390
131072,247.17,6649973
Using Quick Sort,,
Number of elements,Time Taken, Operations
2,0.02,5
4,0.04,13
8,0.04,41
16,0.05,99
32,0.11,312
64,0.18,644
128,0.53,1613
256,0.77,3198
512,1.82,7877
1024,3.7,18213
2048,8.11,41738
4096,18.02,97468
8192,26.81,204691
16384,61.47,412338
32768,50.99,976655
65536,92.91,1957630
131072,200.4,4274878
