Using Merge Sort,,
Number of elements,Time Taken, Operations
2,0.01,6
4,0.01,24
8,0.08,70
16,0.13,188
32,0.19,472
64,0.36,1139
128,0.72,2654
256,1.47,6078
512,3.29,13687
1024,7.04,30444
2048,15.55,67058
4096,32.2,146362
8192,62.38,317322
16384,51.9,683794
32768,69.02,1465866
65536,113.52,3128446
131072,233.75,6650277
Using Quick Sort,,
Number of elements,Time Taken, Operations
2,0.01,6
4,0.01,13
8,0.01,42
16,0.01,113
32,0.02,253
64,0.05,615
128,0.1,1868
256,0.19,3853
512,0.42,8030
1024,0.96,20396
2048,1.96,41739
4096,4.29,92628
8192,9.27,209502
16384,19.51,438274
32768,42.22,934977
65536,88.56,2002207
131072,191.73,4316170
